"order_no","serial_no","warehouse_type","storage_location","lot_no","product_no","product_name","specification","quantity","unit","packing_quantity","packing_unit","attribute1","attribute2","attribute3","attribute4","attribute5"
"1221-20221017002","0001","F05","B0001","0001","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","5","支","43.596","Kg","","","","",""
"1221-20221017002","0002","F05","B0001","0011","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","34","支","588.73","Kg","","","","",""
"1221-20221017002","0503","F05","B0001","0041","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","64","支","260.684","Kg","","","","",""
"1221-20221017002","0004","F05","B0002","1111","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","69","支","53.592","Kg","","","","",""
"1221-20221017002","0005","F05","B0003","1111","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","42","支","206.234","Kg","","","","",""
"1221-20221017002","0006","A201","B0009","2222","220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","57","支","121.068","Kg","","","","",""
"1221-20221017002","0007","F05","B0001",,"220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","51","支","105.827","Kg","","","","",""
"1221-20221017002","0008","F05","B0001","1131","220309208600030040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","79","支","190.62","Kg","","","","",""
"1221-20221017002","0009","F05","B0001","1231","220309208600030040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","62","支","22.44","Kg","","","","",""
"1221-20221017002","0007","A203","B0001",,"220309208600000040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","51","支","105.827","Kg","","","","",""
"1221-20221017002","0008","A203","B0001","1131","220309208600030040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","79","支","190.62","Kg","","","","",""
"1221-20221017002","0009","A203","B0001","1231","220309208600030040","粉體_AH002","_6063-T5_6000mm_2065AT(2258)(純白)","62","支","22.44","Kg","","","","",""
